book_ID,ID,number,title,pages,createdAt,createdBy,modifiedAt,modifiedBy
5fa78e2c-6776-425a-ad6f-a65dffb59cb0,08cd0db3-fa28-44bd-b362-a4404927d30c,1,The Last Transmission,65,2000-11-09T00:00:00.000Z,createdBy.ed991@example.org,2001-02-26T00:00:00.000Z,modifiedBy.c8fde@example.org
5fa78e2c-6776-425a-ad6f-a65dffb59cb0,ae00916a-3812-4129-b9b0-9e5a1d921ec6,2,Coordinates of Silence,67,2000-11-16T00:00:00.000Z,createdBy.3045e@example.net,2000-12-10T00:00:00.000Z,modifiedBy.cecc6@example.org
595ab334-66fc-4484-a54c-d44d0c283119,e71fa1e2-b17b-4059-93fc-2f01ab8d4b8d,1,Low Tide,52,1990-08-11T00:00:00.000Z,createdBy.4eabb@example.com,1990-10-07T00:00:00.000Z,modifiedBy.254ca@example.net
595ab334-66fc-4484-a54c-d44d0c283119,4d6a154c-184d-4259-b4fc-fe16b7b89542,2,What the Fire Left,48,1990-12-17T00:00:00.000Z,createdBy.f7fa5@example.net,1991-02-05T00:00:00.000Z,modifiedBy.74f77@example.net
2635fc10-abf2-4c33-9d65-1cc194d8884a,edf02901-ab41-404d-870d-b343a352fe80,1,The First Warning,124,2012-08-18T00:00:00.000Z,createdBy.d5ea6@example.com,2012-08-19T00:00:00.000Z,modifiedBy.8843f@example.com
2635fc10-abf2-4c33-9d65-1cc194d8884a,62267a8c-e601-419b-836f-b1223f5d0747,2,Nothing Left to Hide,120,2012-04-29T00:00:00.000Z,createdBy.3eeff@example.com,2012-08-19T00:00:00.000Z,modifiedBy.9a809@example.org
4b468690-7913-4a4a-8d21-a0e7164d3d36,fe4ac02a-41e3-4cd2-9c69-f2b452ff4c82,1,Ink and Borders,120,1991-05-31T00:00:00.000Z,createdBy.d8a94@example.net,1991-08-14T00:00:00.000Z,modifiedBy.33009@example.com
4b468690-7913-4a4a-8d21-a0e7164d3d36,2cf82b87-80c7-478c-a229-c2561a5209c8,2,The Unmapped Room,119,1991-06-15T00:00:00.000Z,createdBy.aa964@example.org,1991-06-15T00:00:00.000Z,modifiedBy.16c1d@example.net
5ff57d1f-cd39-4cd7-bad0-eeb199e031f6,c9b0569e-5665-486a-8a76-eeb9a4ee0ee7,1,Frost on the Threshold,118,2000-09-20T00:00:00.000Z,createdBy.ffe5a@example.com,2000-11-29T00:00:00.000Z,modifiedBy.ef82e@example.net
5ff57d1f-cd39-4cd7-bad0-eeb199e031f6,19f56faf-a28e-47f5-a76e-9a414ee81edd,2,The Hollow Wakes,118,2000-08-27T00:00:00.000Z,createdBy.3bcb6@example.org,2000-12-02T00:00:00.000Z,modifiedBy.844c6@example.com
cf70707c-47a3-408e-88c0-3cad4a50eba3,3a2846eb-ef11-47b8-86e6-accb5490a8cc,1,Across the Narrows,53,1994-03-06T00:00:00.000Z,createdBy.1ca11@example.com,1994-06-12T00:00:00.000Z,modifiedBy.67809@example.org
cf70707c-47a3-408e-88c0-3cad4a50eba3,a0e1e72a-389e-4035-8221-32e2a7b6e9bf,2,The Final Crossing,63,1993-10-30T00:00:00.000Z,createdBy.d9e94@example.com,1993-11-01T00:00:00.000Z,modifiedBy.b0557@example.com
cf7d46d0-d836-45ec-b3b7-83e820f54038,25aff513-ac24-441b-99ee-1ceeebecb08d,1,Radio Silence,113,1991-02-10T00:00:00.000Z,createdBy.611e5@example.net,1991-04-11T00:00:00.000Z,modifiedBy.fbf8c@example.org
cf7d46d0-d836-45ec-b3b7-83e820f54038,8d51f9d1-988d-41e5-bc27-51605c964a68,2,The Storm Channel,120,1991-02-15T00:00:00.000Z,createdBy.a223f@example.net,1991-04-28T00:00:00.000Z,modifiedBy.33d03@example.org
522bc3dd-834a-4098-9ff9-7695945f5435,3739594c-7130-4e1f-bb59-a6c2bca42028,1,The Kiln at Midnight,72,2001-11-09T00:00:00.000Z,createdBy.56245@example.org,2001-12-18T00:00:00.000Z,modifiedBy.4e0d@example.com
522bc3dd-834a-4098-9ff9-7695945f5435,3a34fc9f-0a3d-4119-8f6b-14c64fcb9747,2,A Crack in the Glass,66,2001-12-20T00:00:00.000Z,createdBy.1ade2@example.com,2002-03-20T00:00:00.000Z,modifiedBy.3cdf@example.org
7466cf58-8d77-49b1-af6d-5984b6507f3c,4b771c28-4bab-4a7f-bff3-08e9906a0ab1,1,The Empty Corridor,111,1996-08-17T00:00:00.000Z,createdBy.902df@example.org,1996-11-12T00:00:00.000Z,modifiedBy.313a0@example.net
7466cf58-8d77-49b1-af6d-5984b6507f3c,8a7cc41f-708d-4466-b32c-5d3309e2892d,2,Voices in the Walls,102,1997-01-06T00:00:00.000Z,createdBy.22870@example.net,1997-04-14T00:00:00.000Z,modifiedBy.6c52b@example.org
8d5c147e-fff9-43f2-846a-029cc4de4385,a608073a-77eb-451a-824c-25f208aff67f,1,The First Fold,104,1989-04-26T00:00:00.000Z,createdBy.fe741@example.com,1989-06-18T00:00:00.000Z,modifiedBy.377e5@example.org
8d5c147e-fff9-43f2-846a-029cc4de4385,3bd794b3-1c11-4f18-a4a1-9ae02614fa0f,2,A Kingdom of Creases,110,1989-01-20T00:00:00.000Z,createdBy.30f36@example.net,1989-02-15T00:00:00.000Z,modifiedBy.65ef2@example.net
